@relation 'All_energy_5feat_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45-weka.filters.unsupervised.attribute.Remove-R1-5,8,10-21,23-31'

@attribute onset_s numeric
@attribute dur_s numeric
@attribute pre_dur_b numeric
@attribute chord {A7,B5,B7,B9,Bb7,C6,C7,D7,E,E7,Eb6,Eb7,F7,G,G6,G7,Am}
@attribute phrase {f,i,m}
@attribute energy_rat numeric

@data
17,0.498958,0.997917,Am,f,1.068853
17,0.248958,0.997917,Am,i,0.981353
17.25,0.082292,0.497917,Am,i,1.031353
17.333333,0.082292,0.164583,Am,m,1.093853
17.416667,0.082292,0.164583,Am,m,1.093853
17.5,0.998958,0.164583,Am,f,1.081353
17.666667,0.165625,1.997917,Am,i,1.231353
17.833333,0.165625,0.33125,Am,m,1.156353
18,0.165625,0.33125,Am,m,1.143853
18.166667,0.165625,0.33125,Am,m,1.143853
18.333333,0.165625,0.33125,Am,m,1.143853
18.5,0.165625,0.33125,Am,m,0.943853
18.5,0.165625,0.33125,Am,m,1.006353
18.5,0.165625,0.33125,Am,f,1.018853
18.5,0.498958,0.33125,Am,i,0.993853
18.666667,0.165625,0.997917,Am,m,1.118853
18.833333,0.165625,0.33125,Am,m,1.118853
19,0.165625,0.33125,Am,m,1.168853
19.166667,0.165625,0.33125,Am,m,1.168853
19.333333,0.165625,0.33125,Am,m,1.068853
19.5,0.165625,0.33125,Am,m,1.093853
19.666667,0.165625,0.33125,Am,m,1.018853
19.833333,0.165625,0.33125,Am,m,1.068853
20,0.165625,0.33125,Am,m,1.356353
20.166667,0.165625,0.33125,Am,m,1.356353
20.333333,0.165625,0.33125,Am,m,0.993853
20.5,0.165625,0.33125,Am,m,1.043853
20.666667,0.165625,0.33125,Am,m,0.968853
20.833333,0.165625,0.33125,Am,m,0.893853
21,0.165625,0.33125,Am,m,1.056353
21.166667,0.165625,0.33125,Am,m,1.031353
21.333333,0.165625,0.33125,Am,m,0.993853
21.5,0.248958,0.33125,Am,f,0.993853
21.5,0.498958,0.497917,Am,i,0.956353
21.5,0.498958,0.997917,Am,f,1.006353
21.75,0.082292,0.997917,Am,i,0.993853
21.833333,0.082292,0.164583,Am,m,0.918853
21.916667,0.082292,0.164583,Am,m,0.943853
22,0.165625,0.164583,Am,m,0.968853
22.166667,0.165625,0.33125,Am,m,0.993853
22.333333,0.165625,0.33125,Am,m,0.993853
22.5,0.165625,0.33125,Am,m,0.993853
22.666667,0.165625,0.33125,Am,m,1.006353
22.833333,0.165625,0.33125,Am,m,0.968853
23,0.498958,0.33125,Am,m,1.018853
23,0.498958,0.997917,Am,f,0.968853
23,0.248958,0.997917,Am,i,1.031353
23.25,0.082292,0.497917,Am,i,1.056353
23.333333,0.082292,0.164583,Am,m,0.918853
23.416667,0.082292,0.164583,Am,m,0.981353
23.5,0.998958,0.164583,Am,f,0.981353
23.666667,0.165625,1.997917,Am,i,0.993853
23.833333,0.165625,0.33125,Am,m,0.993853
24,0.165625,0.33125,Am,m,0.993853
24.166667,0.165625,0.33125,Am,m,0.956353
24.333333,0.165625,0.33125,Am,m,0.931353
24.5,0.498958,0.33125,Am,m,1.006353
24.5,0.498958,0.997917,Am,f,0.943853
24.5,0.248958,0.997917,Am,i,0.993853
24.75,0.082292,0.497917,Am,m,0.993853
24.833333,0.082292,0.164583,Am,m,0.993853
24.916667,0.082292,0.164583,Am,m,1.068853
25,0.998958,0.164583,Am,m,1.018853
25.166667,0.165625,1.997917,Am,m,1.043853
25.333333,0.165625,0.33125,Am,m,1.143853
25.5,0.165625,0.33125,Am,m,1.006353
25.666667,0.165625,0.33125,Am,m,0.981353
25.833333,0.165625,0.33125,Am,m,0.993853
26,0.165625,0.33125,Am,m,1.018853
26.166667,0.165625,0.33125,Am,m,0.968853
26.333333,0.165625,0.33125,Am,m,1.006353
26.5,0.165625,0.33125,Am,m,1.006353
26.666667,0.165625,0.33125,Am,m,0.993853
