@relation 'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45'

@attribute onset_b numeric
@attribute dur_b numeric
@attribute string numeric
@attribute pitch numeric
@attribute vel numeric
@attribute onset_s numeric
@attribute dur_s numeric
@attribute measure numeric
@attribute pre_dur_b numeric
@attribute pre_dur_s numeric
@attribute nxt_dur_b numeric
@attribute nxt_dur_s numeric
@attribute pre_ionset_s numeric
@attribute nxt_ionset_s numeric
@attribute onset_b_mod numeric
@attribute pitch_mod numeric
@attribute n_simult numeric
@attribute prev_int numeric
@attribute next_int numeric
@attribute keyFifths numeric
@attribute note2key numeric
@attribute chord {A7,B5,B7,B9,Bb7,C6,C7,D7,E,E7,Eb6,Eb7,F7,G,G6,G7}
@attribute chord_id numeric
@attribute chord_type {5,6,7,9,mayor}
@attribute note2chord numeric
@attribute isChordN {n,y}
@attribute mtr {s,ss,ww}
@attribute nar1 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute nar2 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute nar3 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute tempo numeric
@attribute phrase {f,i,m}
@attribute energy_rat numeric

@data
38,1.497917,7,57,80,32.571434,1.283929,10,1.497917,1.283929,1.497917,1.283929,0,0,2,9,3,-10,6,1,2,B7,11,7,2,n,ww,IR,P,SB,70,m,0.948034
38,1.497917,5,63,80,32.571434,1.283929,10,1.497917,1.283929,1.497917,1.283929,0,0,2,3,3,-6,2,1,4,B7,11,7,8,n,ww,P,SB,VR,70,m,0.973034
38,1.497917,4,65,80,32.571434,1.283929,10,1.497917,1.283929,0.497917,0.426786,0,1.285715,2,5,3,-2,1,1,2,B7,11,7,6,n,ww,SB,VR,IR,70,f,0.973034
39.5,0.497917,3,66,80,33.857149,0.426786,10,1.497917,1.283929,0.997917,0.855357,-1.285715,0.428572,3.5,6,0,-1,-14,1,1,B7,11,7,5,n,ww,VR,IR,P,70,i,0.973034
40,0.997917,2,52,80,34.28572,0.855357,11,0.497917,0.426786,0.997917,0.855357,-0.428572,0,0,4,3,14,7,1,3,E,4,mayor,0,n,ww,IR,P,P,70,m,0.985534
40,0.997917,4,59,80,34.28572,0.855357,11,0.997917,0.855357,0.997917,0.855357,0,0,0,11,3,-7,3,1,4,E,4,mayor,7,n,ww,P,P,IP,70,m,0.948034
40,0.997917,3,62,80,34.28572,0.855357,11,0.997917,0.855357,0.997917,0.855357,0,0,0,2,3,-3,5,1,5,E,4,mayor,2,n,ww,P,IP,VP,70,m,0.985534
40,0.997917,7,67,80,34.28572,0.855357,11,0.997917,0.855357,0.997917,0.855357,0,0.857143,0,7,3,-5,4,1,0,E,4,mayor,3,n,ww,IP,VP,VR,70,m,1.085534
41,0.997917,5,71,80,35.142863,0.855357,11,0.997917,0.855357,0.497917,0.426786,-0.857143,0.857143,1,11,0,-4,-3,1,4,E,4,mayor,7,n,ww,VP,VR,IR,70,m,1.085534
42,0.497917,4,68,80,36.000006,0.426786,11,0.997917,0.855357,0.997917,0.855357,-0.857143,0,2,8,0,3,-14,1,1,A7,9,7,1,n,ww,VR,IR,P,70,m,1.085534
